# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
3.597150298787616940e+00,1.906440167217191117e+01,5.299862415700943963e+00,6.017870426177978516e+00,-7.180080413818359375e-01,-1.354767382144927979e-01
3.790338796218589934e+00,6.500212461401735808e+00,1.714942333884938108e+00,1.483272790908813477e+00,2.316695451736450195e-01,1.350888311862945557e-01
5.602680449372601679e+00,2.151520964796602708e+00,3.840163622106154140e-01,-3.297273635864257812e+00,3.681289911270141602e+00,9.586283683776855469e+00
4.982769659825952990e-01,8.474818620983951334e+00,1.700824882457033738e+01,3.194406700134277344e+01,-1.493581771850585938e+01,-8.781514167785644531e-01
2.818675868935884288e-01,9.623975847929916227e+00,3.414360605983117125e+01,4.026047515869140625e+01,-6.116870880126953125e+00,-1.791512966156005859e-01
5.780249107192090285e-01,3.584140383781703409e+00,6.200667682854925644e+00,8.967216491699218750e+00,-2.766548633575439453e+00,-4.461694657802581787e-01
3.548109217987277297e+00,9.341472865525064506e+00,2.632803076683238874e+00,3.429385423660278320e+00,-7.965824604034423828e-01,-3.025605976581573486e-01
8.359845034335776637e-01,5.953831982053827687e+00,7.121940607272133406e+00,1.544898700714111328e+01,-8.327046394348144531e+00,-1.169210314750671387e+00
3.958206505050060997e+00,1.335224248255776480e+01,3.373306184384862849e+00,3.300096511840820312e+00,7.320976257324218750e-02,2.170267328619956970e-02
6.354064666077529067e-01,5.982023207836062895e+00,9.414482732245888386e+00,1.796110725402832031e+01,-8.546624183654785156e+00,-9.078165888786315918e-01
4.752331563778120493e-01,5.940269434582399199e+00,1.249969484422897636e+01,2.007614517211914062e+01,-7.576450347900390625e+00,-6.061308383941650391e-01
1.827273733024593616e+00,6.850446909957900843e+00,3.748998733002472772e+00,5.933580398559570312e+00,-2.184581756591796875e+00,-5.827107429504394531e-01
3.760167439717500670e+00,2.407643830408406238e+00,6.403022921206115159e-01,8.228296041488647461e-01,-1.825273036956787109e-01,-2.850642502307891846e-01
9.058811647081151941e-01,1.206785196869257248e+01,1.332167224448359910e+01,1.021081638336181641e+01,3.110856056213378906e+00,2.335184365510940552e-01
