# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
2.505088841115326481e+00,7.482008038071938927e+00,5.921957069999861378e-01,8.742483258247375488e-01,-2.820526562522774339e-01,8.545396345913619518e-01,1.089279719605162067e-01,2.198439665598991510e+01,1.000000000000000000e+01,9.000000000000000222e-01,2.986723630424526821e+00
1.412144020171140824e+00,1.031891784515833521e+01,6.800888414133758886e+00,5.806241512298583984e+00,9.946465620887001702e-01,1.465922519083315834e-01,1.010270343729898546e+00,4.302916808374301461e+00,1.000000000000000000e+02,9.000000000000000222e-01,7.307270149334882170e+00
4.049675267174096760e+00,1.348515026194646005e+01,1.328310877915986454e+00,8.742483258247375488e-01,4.540625146637229936e-01,4.290347353987654100e-01,2.420151086013753172e-01,1.874866924032375337e+01,1.000000000000000000e+01,9.000000000000000222e-01,3.329933728576842888e+00
3.894873267555430285e+00,1.349901741405420275e+01,2.420076633750246842e+00,8.742483258247375488e-01,1.545828270497983326e+00,6.559177624143615049e-01,2.629207337294025226e+00,9.222751191935694592e+00,1.000000000000000000e+00,9.000000000000000222e-01,3.465842528562347535e+00
1.304833194317718270e+00,9.633588539368002301e+00,3.753237829917053237e+00,2.083365201950073242e+00,1.669872635417560591e+00,4.412235570074507507e-01,3.066228405862414963e+00,1.353182494382377143e+01,1.000000000000000000e+01,8.000000000000000444e-01,7.383003882274231877e+00
1.340429485266649401e+00,5.637090875019942438e+00,3.625478205068541904e+00,3.097172498703002930e+00,5.283055335120692142e-01,1.775756398918803269e-01,4.615564431970350379e-01,4.939756621090127808e+00,1.000000000000000000e+00,9.000000000000000222e-01,4.205436344828362927e+00
3.991245410324756104e+00,1.127131683613370328e+01,2.414208625402491093e-01,8.742483258247375488e-01,-6.328275007120144346e-01,3.671933703378869041e-01,5.245212855224525850e-01,2.415086496487569789e+01,1.000000000000000000e+01,9.000000000000000222e-01,2.824009971167517730e+00
1.373560486044088425e+00,1.240232505427808540e+01,5.973272655725738289e+00,4.608172416687011719e+00,1.365100346327086545e+00,2.166573864843996944e-01,2.523500923935912965e+00,2.839161059652197849e+01,1.000000000000000000e+02,9.000000000000000222e-01,9.029325741596791133e+00
2.259467581212127207e+00,9.215433779549620397e+00,2.873882643896956690e+00,1.345465421676635742e+00,1.528417163360734188e+00,5.394944378175906552e-01,2.555818128100693531e+00,4.534808098617640226e+00,1.000000000000000000e+01,8.000000000000000444e-01,4.078586413975391345e+00
3.882055680263857056e+00,8.674569360958606978e+00,2.269619442903617890e-01,8.742483258247375488e-01,-6.472864189619016440e-01,9.093141456646189891e-01,5.374772984156470645e-01,1.949185170803895417e+01,1.000000000000000000e+03,9.000000000000000222e-01,2.234529866498208062e+00
