# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac
2.772042726489544417e+00,1.652341161448148910e+01,2.728674583108888996e+00,4.082159519195556641e+00,-1.353484661905301589e+00,5.858181966277122843e-01,1.940767068685956387e+00,3.067939199598754740e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.324050639729185797e+00,8.809017621879315030e+00,1.109909236377296438e+00,3.024995326995849609e+00,-1.915086308175506513e+00,3.827771123627414229e-01,3.904138571514114808e+00,2.569999945371867156e+01,1.000000000000000000e+03,9.000000000000000222e-01
3.725582681274444141e+00,1.768934916183030737e+01,1.758035438772047598e+00,3.355587482452392578e+00,-1.597551867846642937e+00,1.253070700031875262e+00,2.774926371157698579e+00,2.768419557253316299e+01,1.000000000000000000e+01,9.000000000000000222e-01
4.390163076660376973e+00,1.379745997856195849e+01,1.204929291859865970e+00,2.675315380096435547e+00,-1.470385995849370131e+00,6.633894425204124090e+00,2.293612175961905031e+00,1.896796536610834849e+01,1.000000000000000000e+03,9.000000000000000222e-01
4.632725139712801976e+00,1.642703352280737406e+01,2.866498524354560651e+00,1.995730638504028320e+00,8.707680140005187308e-01,3.107834361600935180e-01,7.904293972490495923e-01,6.607080669194237643e+00,1.000000000000000000e+02,9.000000000000000222e-01
1.471736405427815253e+00,8.311553049304096774e+00,1.670634056005342760e+00,3.569671154022216797e+00,-1.899037121858732080e+00,1.995683513772946283e+00,4.408283944611396166e+00,3.761685624931177330e+01,1.000000000000000000e+03,9.000000000000000222e-01
1.749089166229448100e+00,5.060478305243217179e+00,-5.248941665491523523e+00,1.718470573425292969e+00,-6.967412294051112731e+00,-1.329094669119812222e+00,4.875383675779530535e+01,2.890608112369373828e+01,1.000000000000000000e+00,8.000000000000000444e-01
1.983358934160763809e+00,1.782611409565037519e+01,7.062260060432437925e+00,4.182105541229248047e+00,2.880154432776454332e+00,4.090913508880635874e-01,8.514056818704389684e+00,1.838213788381656144e+01,1.000000000000000000e+03,9.000000000000000222e-01
1.462449456879656662e+00,1.197629999610326657e+01,1.482458545637044711e+00,3.541334629058837891e+00,-2.058876297998514016e+00,1.380568973136758526e+00,8.052230095000883381e+00,2.649913902672996002e+01,1.000000000000000000e+03,8.000000000000000444e-01
2.282952382201512975e+00,1.625372701815640397e+01,2.957254768606436102e+00,2.635984420776367188e+00,3.212702137196184471e-01,1.727799926564978494e-01,3.458925947886578034e-01,3.613439361679434825e+01,1.000000000000000000e+00,9.000000000000000222e-01
1.588187494353444862e+00,1.761867337815463230e+01,8.951289363425122048e+00,3.833781003952026367e+00,5.117508234303342007e+00,5.737693678185771251e-01,2.645087623849968850e+01,1.875831191762644323e+01,1.000000000000000000e+01,9.000000000000000222e-01
1.363691659514870924e+00,8.728051786459783301e+00,3.707403540812423071e+00,3.554549455642700195e+00,1.528539182767174320e-01,4.349555926779566373e-02,2.100351262220056248e-01,2.509856848266258567e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.661557221392500505e+00,1.585605676484329862e+01,7.469106077689738887e-01,4.035904407501220703e+00,-3.288993531511345658e+00,3.158897358597672067e+00,1.158228855666909496e+01,4.883531238522952833e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.841954872922239694e+00,1.253178149141148978e+01,9.066728281666680545e-01,3.803528308868408203e+00,-2.896855561168010684e+00,-1.014238097857569620e+01,8.674970697020510713e+00,3.317468002025624685e+01,1.000000000000000000e+02,9.000000000000000222e-01
3.287257683035130551e+00,1.780800380926146431e+01,5.188322708022814922e+00,2.700787782669067383e+00,2.487535133970004697e+00,4.809089477951482006e-01,6.446440428187841576e+00,1.885855647080331821e+00,1.000000000000000000e+01,9.000000000000000222e-01
3.106865782958759592e+00,1.384488193381962873e+01,3.278458565580628203e+00,3.094332218170166016e+00,1.841266513941508531e-01,1.346760667301106218e-01,4.040555163489793489e-01,1.023003848923269921e+01,1.000000000000000000e+00,9.000000000000000222e-01
4.687876745810331869e+00,1.739700979276445736e+01,-2.197404105399248728e-02,1.990028381347656250e+00,-2.012002364287119871e+00,2.000292232966102368e+00,4.769779249680158095e+00,3.501041540383150164e+01,1.000000000000000000e+01,9.000000000000000222e-01
3.028101259429760717e+00,1.299563724792816366e+01,1.940033822565131016e+00,2.048505067825317383e+00,-1.084712512206511131e-01,6.138548340866614023e-02,1.660069596781864054e-01,2.070204808422366938e+01,1.000000000000000000e+00,9.000000000000000222e-01
4.648751847438349571e+00,9.778105445877997681e+00,1.804425765737271092e+00,1.566960930824279785e+00,2.374648736560103224e-01,1.686778487319738340e-01,1.305651993666224475e-01,2.863667152735432264e+00,1.000000000000000000e+02,9.000000000000000222e-01
3.124923784923800518e+00,1.514060925564593418e+01,4.648943795283968505e+00,3.889384746551513672e+00,7.595592603289440525e-01,2.159999328648356531e-01,1.167753737548053783e+00,1.637018110747679334e+00,1.000000000000000000e+00,9.000000000000000222e-01
1.952330562084197307e+00,1.648445248929612461e+01,7.688971793762455320e+00,4.775071144104003906e+00,2.913900709263096633e+00,3.800104986607447666e-01,9.012684606964590728e+00,2.565291438867739693e+00,1.000000000000000000e+02,8.000000000000000444e-01
1.824435601270531837e+00,9.540705692824687389e+00,2.110618391885600520e+00,2.159667491912841797e+00,-4.904902999178408635e-02,7.637322881257080365e-02,1.509014335072038637e-01,1.133392944949940251e+01,1.000000000000000000e+00,8.000000000000000444e-01
2.568540573264245896e+00,9.729937901819244672e+00,2.829685403111615649e+00,2.287580013275146484e+00,5.421053451329855832e-01,1.947034264283119265e-01,3.330437379169926548e-01,9.118166129948020782e+00,1.000000000000000000e+02,9.000000000000000222e-01
1.909904776376154523e+00,1.539422991363724158e+01,6.288902689109716171e+00,3.755725860595703125e+00,2.533176819573315974e+00,4.037764263082662675e-01,6.620720235631489814e+00,1.687741720518560129e+01,1.000000000000000000e+03,9.000000000000000222e-01
3.146767765643496251e+00,1.610968270952629666e+01,1.266293459889987316e+00,2.669496059417724609e+00,-1.403202826025387484e+00,4.164903789403274770e-01,2.881143840375234966e+00,3.705489897401881194e+01,1.000000000000000000e+03,9.000000000000000222e-01
4.599220771013977860e+00,1.758600959298523492e+01,-2.920424969022903383e-01,1.834980368614196777e+00,-2.127022837204280759e+00,7.771052473466378174e+00,6.218628420748264496e+00,3.968043641268580757e+01,1.000000000000000000e+03,9.000000000000000222e-01
2.097524027136075109e+00,1.321658400140729306e+01,9.671053540094680656e-01,2.849176883697509766e+00,-1.882071467103164419e+00,8.804532307342384234e-01,4.378787577286358257e+00,4.964296053807365183e+01,1.000000000000000000e+02,9.000000000000000222e-01
3.246801255731743829e+00,1.044989852395054797e+01,2.695223114525100438e+00,3.308178663253784180e+00,-6.129557811867984984e-01,2.206630402856809281e-01,5.697989115188304421e-01,4.951767406804930438e+00,1.000000000000000000e+02,9.000000000000000222e-01
1.094140501513741981e+00,1.022183529645736400e+01,6.337870118089585780e+00,2.898914337158203125e+00,3.438956067033678288e+00,5.432148877310413182e-01,1.216837599692505378e+01,2.572949071086872763e+01,1.000000000000000000e+00,9.000000000000000222e-01
3.146200246904495845e+00,8.035792024806159617e+00,8.997340741777151152e-01,1.659203290939331055e+00,-7.594693538522988563e-01,8.689178874448799661e-01,6.857708148680833338e-01,1.479030700184869396e+01,1.000000000000000000e+00,9.000000000000000222e-01
2.524352048145780181e+00,6.770217951135594880e+00,2.052679721160194592e+00,2.426406383514404297e+00,-3.737268650100018519e-01,1.885507873511270138e-01,2.711906111796016372e-01,5.734704529125483674e+00,1.000000000000000000e+01,9.000000000000000222e-01
2.730963739195263695e+00,8.608292236333831227e+00,1.621622329539259555e+00,2.087831497192382812e+00,-4.662092779217162919e-01,3.136980453272185110e-01,2.484391114547617740e-01,5.942052284346990731e+00,1.000000000000000000e+01,8.000000000000000444e-01
1.172267776732821343e+00,5.298376157511078155e+00,3.949036993903722870e+00,2.985025882720947266e+00,9.640112452932262377e-01,2.796370726436069876e-01,1.291078151234410498e+00,4.852541779428584334e+00,1.000000000000000000e+00,9.000000000000000222e-01
2.907717036473465910e+00,1.402015056167144991e+01,2.328275578621210151e+00,2.429622650146484375e+00,-1.013469403950561232e-01,6.376843256444515717e-02,2.238203007951661550e-01,2.184236491066336683e+01,1.000000000000000000e+00,9.000000000000000222e-01
2.417102910006148964e+00,1.272161061091962786e+01,6.345625466598361353e-01,2.082077026367187500e+00,-1.447514506529441247e+00,1.108972842248484358e+00,3.379450241976091895e+00,1.834037501631701872e+01,1.000000000000000000e+02,8.000000000000000444e-01
3.131914832793565306e+00,1.664226108405233617e+01,2.399498370984314288e+00,3.836812973022460938e+00,-1.437314599057914366e+00,7.872507517847198155e-01,2.287771634370078910e+00,2.819518430248584551e+01,1.000000000000000000e+03,9.000000000000000222e-01
4.905132817111193866e+00,6.229503506611567154e+00,8.784624202846442742e-01,1.168627142906188965e+00,-2.901647278369511307e-01,3.122471800742490644e-01,1.184350508477916425e-01,3.801748937312982690e+00,1.000000000000000000e+01,9.000000000000000222e-01
4.411249246504214128e+00,1.539826489614108063e+01,3.244894863362699056e+00,2.182994842529296875e+00,1.061899958248524900e+00,3.386096832913143007e-01,1.284641112876392821e+00,2.224817824612434602e+00,1.000000000000000000e+03,9.000000000000000222e-01
2.895690835954044751e+00,6.683247923311051331e+00,2.110338143816703926e+00,2.383948564529418945e+00,-2.736103789894638316e-01,1.673419621768913179e-01,2.877223122361727836e-01,1.673596952782808511e+00,1.000000000000000000e+01,9.000000000000000222e-01
1.947902323895635224e+00,8.514071361771446078e+00,3.160180401652665338e+00,1.575262308120727539e+00,1.584918145686001978e+00,4.948645550542104532e-01,2.817259064413024650e+00,4.619907198009111760e+00,1.000000000000000000e+02,8.000000000000000444e-01
4.628267100677303958e+00,1.535997614701052782e+01,2.176798601084353191e+00,2.196239948272705078e+00,-1.944118029534657247e-02,3.160187110258154408e-02,9.548811807307041460e-03,1.116220194728296455e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.253344457789468347e+00,5.437253177044952146e+00,6.134860412181213085e-02,3.950576782226562500e+00,-3.889227957567564342e+00,1.063416097632119239e+01,1.540507834256063724e+01,2.218930119172645021e+01,1.000000000000000000e+03,9.000000000000000222e-01
2.108413536919416131e+00,9.785988579315256786e+00,4.759631796237949741e-01,2.943382978439331055e+00,-2.467419864380645311e+00,5.239773121881253104e+01,6.556776351917688039e+00,3.888865148922716486e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.600891760039605760e+00,1.740078223519905976e+01,4.060668173917963308e+00,2.827501535415649414e+00,1.233166686186029315e+00,2.896711754413232032e-01,2.048567707661342663e+00,1.046820492259278446e+01,1.000000000000000000e+02,8.000000000000000444e-01
4.539293042901970665e+00,1.357048578172407360e+01,2.397685698967499945e+00,2.882947683334350586e+00,-4.852620499319598713e-01,2.146160042990183092e-01,3.747144569978890227e-01,2.323047372211082262e+00,1.000000000000000000e+03,8.000000000000000444e-01
3.404057725003429624e+00,1.297570841883278803e+01,1.637301776416406396e+00,2.355493545532226562e+00,-7.181918182896520619e-01,4.955731586125857180e-01,5.786392818157131135e-01,2.013602786553913404e+01,1.000000000000000000e+01,9.000000000000000222e-01
2.516780610606877300e+00,1.016071048545625111e+01,2.418083900331551739e+00,3.144374132156372070e+00,-7.262902556666783749e-01,3.473639793733577785e-01,6.324744424875322624e-01,6.424391459393503645e+00,1.000000000000000000e+02,8.000000000000000444e-01
4.293608756714617058e+00,1.624822703823367931e+01,-6.277382024765991719e-01,1.643532514572143555e+00,-2.271270858609773846e+00,-3.958656588441724633e+00,6.768604521742162206e+00,4.206541208753387195e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.626456986225068846e+00,1.274731368547507770e+01,2.200616551451900271e+00,2.184479236602783203e+00,1.613756518862486874e-02,9.894089967676118758e-02,1.779212218732285078e-01,2.318512757187899709e+01,1.000000000000000000e+00,9.000000000000000222e-01
2.596178456655625855e+00,1.369754354034377641e+01,1.126675401870241400e+00,2.724068164825439453e+00,-1.597392515595922102e+00,-8.255536102884389882e-01,3.090960769819319331e+00,3.907413216090528607e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.491636037736349785e+00,1.730491822462828821e+01,6.636776944646831655e-01,2.524110794067382812e+00,-1.860432917808533038e+00,4.530916237159922311e+00,3.819315284779682962e+00,2.399049652032022095e+01,1.000000000000000000e+01,8.000000000000000444e-01
1.065999036281675139e+00,1.223231680964807211e+01,5.510195753424865117e+00,5.552309989929199219e+00,-4.211384311367873112e-02,1.549593930821396570e-01,2.456539967711074191e+00,2.317182899535751872e+01,1.000000000000000000e+02,8.000000000000000444e-01
1.283323870468453087e+00,1.392390731822841055e+01,8.186442078385727683e+00,2.778502702713012695e+00,5.407939411435501498e+00,6.609340619576670184e-01,2.956527210003850570e+01,2.280492017441511621e+01,1.000000000000000000e+00,9.000000000000000222e-01
1.246708464601387956e+00,1.126371715578256527e+01,7.691079645971720780e+00,3.567249774932861328e+00,4.123830157141154196e+00,5.366308701466911968e-01,1.749349552622579651e+01,1.149128917371824699e+01,1.000000000000000000e+00,9.000000000000000222e-01
2.335368424683018418e+00,1.593172855601603111e+01,5.048482816275995155e+00,3.639315366744995117e+00,1.409167267736833651e+00,2.903098036168739182e-01,2.187288399043215925e+00,1.587669016833894098e+01,1.000000000000000000e+01,9.000000000000000222e-01
