# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
4.333264178636783370e+00,1.698964166189591651e+01,2.755971292943042439e+00,4.215301990509033203e+00,-1.459330530672985571e+00,5.317884527320264620e-01,2.195710948566894860e+00,7.368873942813800149e+00,5.753156140961350751e+00,8.000000000000000444e-01,3.920749107717855786e+00
1.962474926951862875e+00,1.271242621662801753e+01,4.732971371020724405e+00,5.454382419586181641e+00,-7.214109055143096416e-01,1.510027233965680893e-01,5.632296694351683897e-01,9.402644000594561291e+00,3.609111736576555707e+00,8.000000000000000444e-01,6.477752169997449627e+00
4.803810878984162258e+00,7.832520041472476713e+00,8.377732474944036278e-01,6.366102695465087891e+00,-5.528329465852078073e+00,7.523269353077989940e+00,3.065054907388540073e+01,5.627360078706041158e+00,7.451199120449197189e+00,8.000000000000000444e-01,1.630480516154037440e+00
2.818675868935884399e+00,9.623975847929916227e+00,2.656225060680727612e+00,4.188260078430175781e+00,-1.532034680983204833e+00,5.810543509319486821e-01,2.358674565094076137e+00,4.336318106219691160e+00,9.663922221158790293e+00,8.000000000000000444e-01,3.414360605983116859e+00
2.288404198752185259e+00,1.162804087565707434e+01,5.039133416742201277e+00,5.212975502014160156e+00,-1.738416859208388732e-01,3.920986130863586550e-02,1.032815266730162246e-01,1.453382770785024147e-01,7.690151786352725338e+00,8.000000000000000444e-01,5.081288035565387773e+00
1.641111147321253405e+00,4.457628876211408908e+00,2.493979497538289625e+00,2.961276292800903320e+00,-4.672968071835424952e-01,1.874777949954420930e-01,2.536317762082221927e-01,1.020590376019711698e+00,4.688543552846207163e+00,8.000000000000000444e-01,2.716226066398665040e+00
4.870016185540567477e+00,1.034431881847114987e+01,1.967026498170366011e+00,3.621055603027343750e+00,-1.654029343275556840e+00,8.399959004593912093e-01,2.798843660266803202e+00,8.032671307382318604e-01,8.888618233773888377e+00,8.000000000000000444e-01,2.124083047030559168e+00
1.887346834398979656e+00,3.698517720206639048e+00,1.615884466982728807e+00,2.140368223190307617e+00,-5.244838277331526077e-01,3.150944408196307833e-01,3.655080183755713419e-01,1.765687855066125023e+00,2.042864330343857837e+00,8.000000000000000444e-01,1.959638606321356225e+00
4.352808159095855167e+00,1.227050692915131691e+01,1.509439920281847147e+00,5.913546085357666016e+00,-4.404105908775846956e+00,3.129501118176171381e+00,1.951159526825548340e+01,8.738270390010830724e+00,9.341665924220341921e+00,8.000000000000000444e-01,2.818986383195000833e+00
3.153615455741908491e+00,1.199954635672277803e+01,2.346332285999576328e+00,3.893754482269287109e+00,-1.547422214151104036e+00,6.615232523544600785e-01,2.443970860235846310e+00,8.682181841257827770e+00,4.127089926130732778e+00,8.000000000000000444e-01,3.805012540408103217e+00
2.013536269225420838e+00,9.433070897812189770e+00,4.089291221560126921e+00,3.251771450042724609e+00,8.375196195255580900e-01,2.059566304054433472e-01,7.200422541669366794e-01,3.071825572017610195e+00,4.073729852763478654e+00,8.000000000000000444e-01,4.684827903021066220e+00
3.860497483536056595e+00,9.591941621496653525e+00,1.368385200055604711e+00,3.612136125564575195e+00,-2.243750710932249426e+00,1.651520723215508468e+00,5.156284474933938711e+00,7.547056903494429037e+00,1.187630886931789309e+00,8.000000000000000444e-01,2.484638744722307280e+00
2.143332479753713660e+00,5.412562773274060213e+00,2.438571105909961290e+00,3.937587738037109375e+00,-1.499016518878323323e+00,6.112130495706173949e-01,2.388952453176004465e+00,3.339614199164280262e-01,6.113582842978365406e+00,8.000000000000000444e-01,2.525302455126330781e+00
1.666806191748341881e+00,8.483785112652235227e+00,5.054439455582446783e+00,3.321718692779541016e+00,1.732720724059886974e+00,3.432205740408819095e-01,3.112250005707304812e+00,1.336018173466433923e-01,2.284701230136937600e+00,8.000000000000000444e-01,5.089844970970166749e+00
5.062065223201688724e+00,5.577194945282103689e+00,2.424128120122140684e-01,4.308931827545166016e+00,-4.066518827778320855e+00,-1.309372568625910915e+01,1.665082885662852874e+01,7.178945631632147162e+00,8.576204690862249791e+00,8.000000000000000444e-01,1.101762758749007753e+00
3.509880500307075657e+00,1.518572721473582554e+01,3.881477500743430564e+00,5.504174232482910156e+00,-1.622696499281364835e+00,4.188113957966826950e-01,2.654781949918246120e+00,2.445610802717414600e+00,9.577718288029320348e+00,8.000000000000000444e-01,4.326565309960622940e+00
1.011705118305365136e+00,4.594413748899969008e+00,4.223199667448871431e+00,4.171482086181640625e+00,5.171803426253106239e-02,4.549529829352121774e-02,6.244292641748374478e-02,1.510592142727617881e+00,2.753952391321422333e+00,8.000000000000000444e-01,4.541257789221965879e+00
2.959588615215703822e+00,3.387437159889898908e+00,6.595310996371719359e-01,2.004230976104736328e+00,-1.344699739376881364e+00,2.103774869924306845e+00,1.843631879925418549e+00,3.158254476311471493e+00,7.288433873481834802e+00,8.000000000000000444e-01,1.144563518887239839e+00
1.823618504913497418e+00,1.267791220224597204e+01,6.897059911092571660e+00,5.075618743896484375e+00,1.821441292365842957e+00,2.645947815450255813e-01,3.467061679992092138e+00,2.086930136790361434e-01,5.775277794307386081e+00,8.000000000000000444e-01,6.952063805059570001e+00
2.739207974219834529e+00,1.802193990205879714e+01,6.364219150444360373e+00,5.534089088439941406e+00,8.301299547160578829e-01,1.347407833143497158e-01,8.126797272332926259e-01,1.080987531849964212e+00,5.372391604503450324e-01,8.000000000000000444e-01,6.579252131153606520e+00
1.552612980617622984e+00,1.042948882715781167e+01,5.471175857811337195e+00,4.280475616455078125e+00,1.190700649648075427e+00,2.189111121704601093e-01,1.461198945154997819e+00,6.458920822394454753e+00,2.290530728258335813e+00,8.000000000000000444e-01,6.717378353367240429e+00
4.278581825498145363e+00,1.111464876497929666e+01,1.511785959559948767e+00,4.019361495971679688e+00,-2.507575718205897086e+00,1.736756179749991080e+00,6.367355314160159097e+00,7.145401389214538490e+00,8.727617528158882365e+00,8.000000000000000444e-01,2.597741312025800386e+00
4.929909774717620152e+00,9.294540865073095404e+00,1.738949996060725312e+00,5.856970787048339844e+00,-4.118021184378269695e+00,2.366532427535848804e+00,1.709987822548692904e+01,5.872104855292150649e-01,5.913558250419632678e-01,8.000000000000000444e-01,1.885336910776522101e+00
2.591695518627724404e+00,1.919029642931874236e+01,6.884656793968710886e+00,6.293892860412597656e+00,5.907636653352111855e-01,8.623264203344341294e-02,3.648530547805161062e-01,2.726688158309908516e+00,9.253350862872048666e+00,8.000000000000000444e-01,7.404533553956911263e+00
1.754861574546098701e+00,1.952123167651291524e+01,9.885712850376313199e+00,5.914673805236816406e+00,3.971039021297639415e+00,4.022816231142737342e-01,1.584740329595427610e+01,6.548360370911997741e+00,2.389254380027087343e+00,8.000000000000000444e-01,1.112408634371184135e+01
4.573979584691064915e+00,8.119726872073609769e+00,1.529598287020887515e+00,2.106859683990478516e+00,-5.772615430009706561e-01,3.718529972494760694e-01,3.773661822979461622e-01,1.398035599725752753e+00,4.406903107166705524e+00,8.000000000000000444e-01,1.775199631246721532e+00
4.619655867002362193e+00,1.279276699679198970e+01,2.473172002116393209e+00,5.370419502258300781e+00,-2.897247440537262797e+00,1.172430415972990136e+00,8.431103092981285130e+00,1.628261074244796713e+00,3.875317524000272407e+00,8.000000000000000444e-01,2.769203456943440944e+00
3.475627802397415422e+00,5.723950233577437707e+00,9.158512694869662685e-01,4.112753391265869141e+00,-3.196902068134722885e+00,3.536042297798926093e+00,1.030643153642619758e+01,4.571223827474530488e+00,2.354356977662821926e+00,8.000000000000000444e-01,1.646882393341766226e+00
