# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
3.330967203024068901e+00,1.855200775096868071e+01,4.269368829482225181e+00,2.019420862197875977e+00,2.249948085003523168e+00,5.309571610920781337e-01,5.173918865078415585e+00,7.580056918528893739e+00,6.624414336104897494e+00,8.000000000000000444e-01,5.569555813736609018e+00
1.792417758884958801e+00,6.786313121224696765e+00,2.508875372613468713e+00,1.650305509567260742e+00,8.585697937558084414e-01,3.630141089301696655e-01,9.245743837906775786e-01,6.748791983574600195e+00,2.123988700198197854e+00,8.000000000000000444e-01,3.786122452528243087e+00
3.473974007446330337e+00,9.827477883430031369e+00,1.691365397592756725e+00,1.008509874343872070e+00,6.828556122833226993e-01,4.449243859774840715e-01,5.723122864518488395e-01,7.059881090813028948e+00,7.653810972333682905e+00,8.000000000000000444e-01,2.828886417217056692e+00
2.109122616500858971e+00,1.498166274096065287e+01,6.769848743323708895e+00,6.347315311431884766e+00,4.225336762708684080e-01,7.245443799463098522e-02,2.492020030094042604e-01,1.650508499084107905e+00,4.403009373104499247e+00,8.000000000000000444e-01,7.103267787159757596e+00
1.504861688593454261e+00,7.368750598452116662e+00,3.708464971309263003e+00,2.671914577484130859e+00,1.036550563698369398e+00,2.800612144060382613e-01,1.199640873086691428e+00,6.345957091847744813e+00,8.930580368629877697e+00,8.000000000000000444e-01,4.896629806118228956e+00
3.020720980024151459e+00,6.130468711294410511e+00,1.328204768705995686e+00,1.103511452674865723e+00,2.246932916304786865e-01,2.394848636442254430e-01,2.218488794532143815e-01,4.242570642125631508e+00,9.977586199755906549e+00,8.000000000000000444e-01,2.029472020697983936e+00
2.604943377849645803e+00,1.104117040774191771e+01,2.622294287410560809e+00,1.080706119537353516e+00,1.541588172716084726e+00,6.020925559644614289e-01,2.484202891457000018e+00,9.500695962975360231e+00,9.518624197143873644e+00,8.000000000000000444e-01,4.238545260379629198e+00
2.961020908555249243e+00,1.775096990101024019e+01,4.386444531966015248e+00,2.631207704544067383e+00,1.755236973453327298e+00,4.034769867753776884e-01,3.138117102335318265e+00,9.426489674300341903e+00,9.494653112725545796e+00,8.000000000000000444e-01,5.994881646976059741e+00
4.941770166325663460e+00,8.293164934304513736e+00,9.316209814379170506e-01,8.742483258247375488e-01,5.737261818565361077e-02,2.374421875365067824e-01,1.335385798887100128e-01,5.445187988914010013e+00,4.007642090362657505e+00,8.000000000000000444e-01,1.678176980146913966e+00
1.367124217239829242e+00,6.132333077115399433e+00,4.095608510249886258e+00,3.432541370391845703e+00,6.630672560870982668e-01,1.787209551778407568e-01,6.040183116927609897e-01,1.871593324311254136e+00,5.324509130003018065e+00,8.000000000000000444e-01,4.485571244942424762e+00
3.294719636787389216e+00,3.928485376070037560e+00,8.639914806500165190e-01,8.742534518241882324e-01,-1.026203437604993399e-02,3.077978079867224048e-01,2.288038392911577179e-01,1.985409388942243947e+00,6.505788650062826584e+00,8.000000000000000444e-01,1.192358018025660993e+00
2.268383042502343017e+00,1.373618360351883361e+01,5.001115247542019304e+00,4.071630001068115234e+00,9.294848888460347514e-01,1.865032739723069821e-01,9.153267989769371393e-01,5.793579722180956182e+00,8.208249853377433070e+00,8.000000000000000444e-01,6.055495631093197773e+00
2.602510384731269610e+00,7.816399009661975761e+00,2.506247594438129056e+00,1.235157728195190430e+00,1.271089834577970645e+00,5.166883656774932110e-01,1.849269585099772018e+00,2.632002599084632521e+00,3.902827000814723668e+00,8.000000000000000444e-01,3.003407423663011500e+00
1.428947331664030207e+00,4.715288347658632695e+00,2.328581430855009238e+00,1.156967878341674805e+00,1.171613465341541094e+00,5.190067738808306075e-01,1.624845784377448421e+00,5.135080667230791818e+00,4.297371850994958109e+00,8.000000000000000444e-01,3.299833551015214805e+00
1.350680388518393560e+00,1.567071393687927028e+01,1.029435183981829738e+01,7.298558712005615234e+00,2.995793038405714537e+00,2.915759642568474530e-01,8.976190623939483970e+00,6.931837334638117909e+00,9.279729910390749126e+00,8.000000000000000444e-01,1.160208889541144472e+01
2.746090323161269886e+00,6.359819117498253682e+00,8.095980025124799306e-01,8.742483258247375488e-01,-6.465036073978365494e-02,2.431135395307838232e-01,7.087672514925820455e-02,9.505711580424497598e+00,6.449726501861086092e+00,8.000000000000000444e-01,2.315954090751428218e+00
4.802619169786034981e+00,1.306247558628757233e+01,1.498507077617624805e+00,8.742483258247375488e-01,6.242587143653614001e-01,4.778126570151961516e-01,4.388095456267609995e-01,8.484305628412741385e+00,8.727234432109922224e+00,8.000000000000000444e-01,2.719864957951585449e+00
1.164213912817075869e+00,2.535540277017729771e+00,1.665809847974804914e+00,1.712378740310668945e+00,-4.656876120564570204e-02,1.798965775257755917e-01,3.886423341756961580e-01,2.844245587199763392e+00,6.805103529631858272e+00,8.000000000000000444e-01,2.177898966077826071e+00
3.366802951507732899e+00,1.703463428158901039e+01,4.295418559100726341e+00,2.746074676513671875e+00,1.549343909409144349e+00,3.642966071059589028e-01,2.579369877195473393e+00,4.034466188282999077e+00,1.135328442403906735e+00,8.000000000000000444e-01,5.059587545496389893e+00
3.871609513349326015e+00,8.356958782498363547e+00,1.077342427548373838e+00,8.742483258247375488e-01,2.030940642961103215e-01,2.873807588040986905e-01,1.094881337571108892e-01,7.092633991975699104e+00,8.984485934451949873e+00,8.000000000000000444e-01,2.158523155210651634e+00
4.042891772550174956e+00,1.527583719296455378e+01,2.359093418274061715e+00,1.008549332618713379e+00,1.350544189218418678e+00,5.922887126058096197e-01,1.927190570015067106e+00,9.042747298596060190e+00,5.206234122098672756e+00,8.000000000000000444e-01,3.778443265951901164e+00
3.996603223701277852e+00,1.851322814276983664e+01,3.590171672069443876e+00,1.677155852317810059e+00,1.913015656583918922e+00,5.435768960861763199e-01,3.875250465746069128e+00,6.361660780109961166e+00,9.328635984014333360e+00,8.000000000000000444e-01,4.632240707053384199e+00
3.746764233511065800e+00,1.009104226349191791e+01,2.144805933629297279e+00,8.742483258247375488e-01,1.270557570377034207e+00,6.087639886084771357e-01,1.848060430828908807e+00,3.114361918888012060e+00,3.096014776679004488e+00,8.000000000000000444e-01,2.693268547093947696e+00
1.653752096304884844e+00,1.940635263364362117e+01,1.116500153108368032e+01,8.542153358459472656e+00,2.622848649461365422e+00,2.356733563881496241e-01,6.909786458733767844e+00,2.926375469537099150e+00,8.260468223240248875e+00,8.000000000000000444e-01,1.173474106367262593e+01
1.643444241066306821e+00,1.356555604619950550e+01,7.407215497335679188e+00,6.134902000427246094e+00,1.272313318094499213e+00,1.727327423219441882e-01,1.664122624389419602e+00,4.405186385306075536e+00,4.002416252429554788e+00,8.000000000000000444e-01,8.254345177782145271e+00
3.109832800046036905e+00,4.930033338546440547e+00,1.473499980976132218e+00,1.240492463111877441e+00,2.330075350005899604e-01,2.830772124962866454e-01,4.272505483715853813e-01,4.699260325774228253e-01,6.667313163185846214e+00,8.000000000000000444e-01,1.585304952238415277e+00
3.258831903205610114e+00,1.992949646564340327e+01,4.999425273186282936e+00,2.873415470123291016e+00,2.126009871608333324e+00,4.273880111951143812e-01,4.608879031266466697e+00,6.408999006566522105e+00,7.568772910113896302e+00,8.000000000000000444e-01,6.115533742639313708e+00
1.957952817330463668e+00,1.730981066353142950e+01,8.762037930097893224e+00,8.195172309875488281e+00,5.668661626246725982e-01,8.045910284352886244e-02,5.392509398131117848e-01,3.614169689780334371e-01,1.395030789148413053e+00,8.000000000000000444e-01,8.840770068776317103e+00
2.287597261998650211e+00,7.725916764929130487e+00,2.421310683519934948e+00,1.093710303306579590e+00,1.327600373694097557e+00,5.575899920373205143e-01,1.958916294604975405e+00,5.336027108779322958e+00,6.882131664080707978e+00,8.000000000000000444e-01,3.377306352508516074e+00
1.725105708315377573e+00,1.822853831126946877e+00,4.192699080381218080e-01,9.771093130111694336e-01,-5.578394535415197586e-01,1.439876874871837797e+00,5.205688649162085735e-01,4.962440073544177821e+00,4.521304757675105535e+00,8.000000000000000444e-01,1.056662106177263638e+00
1.484545130544655978e+00,1.385451642707268860e+01,7.793985026139273131e+00,6.023294925689697266e+00,1.770690183896078906e+00,2.275102065047802102e-01,3.148467171770298112e+00,8.240577828712993380e+00,9.122880808840980293e+00,8.000000000000000444e-01,9.332499323876859876e+00
2.202621729224991221e+00,2.537443192432876859e+00,1.950908104507655949e-01,8.775842785835266113e-01,-6.824934529056368993e-01,9.563098879108228090e+00,6.624706828146820214e-01,7.869682603975158841e+00,1.882614782434819833e+00,8.000000000000000444e-01,1.152010424107499986e+00
3.724831870482478102e+00,7.678925498214461243e+00,9.507485348009284687e-01,8.742483258247375488e-01,7.650017154866488311e-02,2.073358987894210748e-01,7.109730392360839868e-02,7.294800265400326111e+00,8.874620202994444540e+00,8.000000000000000444e-01,2.061549558536130089e+00
2.753097329687388850e+00,1.067865636013796937e+01,2.663603179357223905e+00,1.013620734214782715e+00,1.649982449612789726e+00,6.276076911963992533e-01,2.887663901199590821e+00,6.919037979957201046e+00,4.581277616877143188e+00,8.000000000000000444e-01,3.878779091820381275e+00
2.140055652963683830e+00,1.377607504805935079e+01,4.748620129466827322e+00,4.132279396057128906e+00,6.163409092434010139e-01,1.369716871259480384e-01,4.402245162264706302e-01,9.159558211191797028e+00,3.490167344124148308e+00,8.000000000000000444e-01,6.437250839239331945e+00
1.688845648296498858e+00,1.059612289237069227e+01,5.917477634570815326e+00,5.256630897521972656e+00,6.608470827557827443e-01,1.259184208994310050e-01,5.741127951675071284e-01,1.793441894937934045e+00,1.000918572484069458e+00,8.000000000000000444e-01,6.274180771380006405e+00
1.474890621723685236e+00,1.598927840049069715e+01,9.572432047037107594e+00,7.141604423522949219e+00,2.430827844051344222e+00,2.547047372473066895e-01,5.918855388628351477e+00,6.711055091357763125e+00,6.209986169736741779e+00,8.000000000000000444e-01,1.084099265734311857e+01
2.486097255089120939e+00,9.654879840217340359e+00,2.725303968317239534e+00,1.742723464965820312e+00,9.825804251203233974e-01,3.828611642090172795e-01,1.169868945917417857e+00,6.207024184640406617e+00,1.238333371674259720e+00,8.000000000000000444e-01,3.883548731029524248e+00
1.876027305971678327e+00,7.091884824971547374e+00,3.414277270248409657e+00,3.101734161376953125e+00,3.125429330377546555e-01,1.214981110132415526e-01,2.804270843789714585e-01,1.789712888625017095e+00,8.549634476476606793e+00,8.000000000000000444e-01,3.780267377983788979e+00
4.302057670202215967e+00,1.854842782374592858e+01,3.195048956523010908e+00,1.758139371871948242e+00,1.436909518340894865e+00,4.713066418517463663e-01,2.264432825224406365e+00,7.032254071960021058e+00,9.908213686723257752e+00,8.000000000000000444e-01,4.311524680903235485e+00
2.407007714026204503e+00,3.485015540435973946e+00,1.111162340510237989e+00,9.229952692985534668e-01,1.881670082077123718e-01,3.100776882929324740e-01,3.318796249314600044e-01,1.786534093795384193e+00,7.535943162221236946e-01,8.000000000000000444e-01,1.447862223343931110e+00
